,Variety,apple,character,cherry,cinnamon,dry,fresh,herb,oak,plum,soft,spice,strawberry,sweet,vanilla,Color
66,Sagrantino,0.01281910292711946,0.02563820585423893,0.6083185138395754,0.1507131499715854,0.02419733176954561,0.070964764612358,0.1442767651191871,0.289226718468474,0.5137584862723873,0.02208943875152213,0.4607615445830324,0.03322509245493036,0.03483405227040069,0.1314110055581766,Red
67,Savagnin,0.2594005287355916,0.8646684291186385,0.0,0.0,0.2448221490495941,0.06838119628294206,0.0,0.0,0.169042970306951,0.0744983499000695,0.2825371161219657,0.0,0.0,0.08058069726868021,White
68,Cabernet Sauvignon-Syrah,0.0,0.1248643720066088,0.5678433330369961,0.0326226724657723,0.2592633133612479,0.07899791266470481,0.2529588068175431,0.2561100539804333,0.439398485172444,0.193645805173072,0.3468034176721861,0.03236287537304781,0.2940607056875774,0.1396372226134957,Red
69,Bordeaux-style White Blend,0.2907029900114571,0.6801885494442831,0.0,0.01106074886045215,0.175806957619809,0.4196210008018899,0.03811819099035147,0.04341718157343723,0.06897152045801971,0.2480330175925818,0.380418941307793,0.0,0.1738386323546657,0.03419298731026928,White
70,Prosecco,0.235257665658603,0.05535474486084777,0.02736257846262309,0.0,0.3918284495115204,0.4705983602504856,0.01557519969986632,0.01419230568591904,0.0,0.2623098469677884,0.05652372577873883,0.0,0.7019529425743396,0.02579326241021453,White
71,Vignoles,0.6864098573867858,0.3432049286933929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5607243628098941,0.0,0.3108698659475597,0.0,White
72,Sparkling Blend,0.7758290477784174,0.06013414474521406,0.1003831201616652,0.02318007365276967,0.394490917804968,0.3243185026099669,0.04216126781707902,0.022241910004907,0.04336320110865583,0.1401432868587645,0.07489281703720997,0.1967390601235986,0.1714421649135832,0.1598534341400264,Rose
73,Shiraz-Viognier,0.0,0.170794613792239,0.337704096198555,0.0,0.2417938656401099,0.06753536741072527,0.0,0.08757946132861344,0.5843320832272189,0.2943074239986077,0.4883240674036188,0.1106681736294944,0.07735159704188233,0.3183358754786969,Red
74,Furmint,0.6888049739542826,0.0,0.0,0.0,0.5525798563260191,0.1906564098844899,0.0,0.0,0.03366540133716906,0.02967312800749526,0.0,0.0,0.2807591366172186,0.3209576249935894,White
75,Garganega,0.7746003517389427,0.0,0.0,0.05189124389181059,0.01874532315460114,0.4476566442551584,0.2794228111199753,0.2444288270040506,0.009707348123072203,0.102674213416092,0.08923632709467427,0.0,0.1349271838754456,0.1480759367096488,White
76,Pinot Grigio,0.8227265238856447,0.03906119994709293,0.02172202301661357,0.03826994576743467,0.2304121873352764,0.4035143425733242,0.08243005968437175,0.0976446155092929,0.0,0.1051701887675198,0.0917380160974615,0.009491293874714335,0.1968070784524448,0.1706350641483985,White
77,Mencía,0.0,0.05711246075754117,0.3199563262276541,0.03730369742517358,0.1527243876625575,0.2107777409560214,0.0749922569082908,0.5759565593571325,0.6420165600651107,0.04100593111653038,0.26437747699207,0.02467108137735453,0.02586580426922331,0.05322458592901112,Red
